,Ligand_Short_Hand_descrip_Tollman Cone Angle/Bite Angle,Ligand_Short_Hand_descrip_Denticity,Ligand_Short_Hand_descrip_Hybridisation,Ligand_Short_Hand_descrip_E (HOMO),Ligand_Short_Hand_descrip_E (LUMO),Ligand_Short_Hand_descrip_Steric Parameter,Ligand_Short_Hand_descrip_Proton Affinity ,Base_Short_Hand_descrip_pKa in Water,Base_Short_Hand_descrip_Organic/Inorganic,Base_Short_Hand_descrip_# of Deprotonations,Solvent_1_Short_Hand_descrip_Polarity of Co-Solvent (PCA1),Solvent_1_Short_Hand_descrip_Polarisability (PCA2),Solvent_1_Short_Hand_descrip_Hydrogen Bonding (PCA3),Solvent_1_Short_Hand_descrip_PCA4*,Reactant_1_Name_6-Bromoquinoline,Reactant_1_Name_6-Iodoquinoline,Reactant_1_Name_6-Quinolineboronic acid pinacol ester,Reactant_1_Name_6-chloroquinoline,Reactant_1_Name_6-quinoline-boronic acid hydrochloride,Reactant_1_Name_6-triflatequinoline,Reactant_1_Name_Potassium quinoline-6-trifluoroborate,"Reactant_2_Name_2a, Boronic Acid","Reactant_2_Name_2b, Boronic Ester","Reactant_2_Name_2c, Trifluoroborate","Reactant_2_Name_2d, Bromide",Product_Yield_PCT_Area_UV
0,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.047641092184596195
1,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0412096203597114
3,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0444317065372505
4,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0194987400815928
6,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.862621224841378
8,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.936745145376158
9,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.143214354734956
10,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0210830716745609
12,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,3.6,1.0,2.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0315768624811382
13,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,3.6,1.0,2.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0475379053091498
